time,0.3_0.7,0.8_0.7,0.1_0.9,1.0_0.2,0.6_0.5,0.6_0.3,0.3_1.0,0.4_0.6,0.1_0.3,0.2_0.9,0.1_0.8,0.7_1.0,0.7_0.1,0.8_0.9,0.8_0.1,0.4_0.3,0.2_0.1,0.4_0.1,0.3_0.2,0.7_0.6,0.3_0.4,0.3_0.5,0.3_0.1,1.0_0.9,0.2_0.6,0.4_0.8,1.0_0.4,0.1_1.0,0.9_0.1,0.7_0.7,0.5_0.6,1.0_0.5,0.5_0.8,1.0_0.1,0.2_0.7,0.2_0.2,1.0_0.6,0.8_0.3,0.9_0.9,0.8_0.2,0.6_0.1,0.4_0.2,0.3_0.8,0.9_0.8,0.7_0.3,0.9_0.2,0.6_0.8,0.9_0.5,0.1_0.4,0.5_1.0,0.6_1.0,0.1_0.2,0.2_1.0,0.9_0.7,0.8_0.6,1.0_1.0,0.7_0.4,0.1_0.5,0.5_0.4,0.9_0.3,0.1_0.7,0.2_0.8,1.0_0.8,0.4_0.9,0.4_0.7,0.6_0.6,0.9_0.4,0.7_0.9,0.3_0.9,0.5_0.2,0.8_0.5,0.7_0.8,0.6_0.2,0.4_0.5,0.9_1.0,0.1_0.6,0.4_0.4,0.7_0.5,0.2_0.4,0.6_0.7,0.3_0.6,0.5_0.9,0.1_0.1,0.5_0.3,0.8_0.8,0.2_0.3,1.0_0.3,0.5_0.7,0.7_0.2,0.5_0.1,1.0_0.7,0.9_0.6,0.8_1.0,0.2_0.5,0.4_1.0,0.5_0.5,0.3_0.3,0.6_0.4,0.6_0.9,0.8_0.4
00:00:00,247608.7,243889.6,224671.7,276916.7,272746.2,252236.5,252812.1,235641.5,212861.6,232130.9,217069.4,254038.0,240665.1,258412.4,251358.6,243081.2,230490.5,245300.6,248626.9,245139.4,258338.1,246162.6,240481.9,272738.7,237227.0,251999.5,261116.9,221136.7,257668.9,248612.0,232831.5,267690.8,254474.3,264510.7,236571.1,235418.1,255383.8,245752.4,268499.7,278850.6,263839.0,249778.0,246937.6,264326.4,239856.7,254574.7,260136.6,267153.3,213124.0,250743.5,259938.4,213903.9,238000.8,269027.0,285128.7,282482.1,243508.1,213157.1,254442.6,258433.6,223592.1,232232.8,268090.2,257234.0,245195.5,256699.8,253854.2,248474.0,247832.9,232802.4,253123.2,252865.1,262216.3,242636.5,265403.7,214277.0,227714.0,243775.0,236263.6,244968.5,249725.8,244837.6,224541.7,241140.5,281979.3,233730.8,271701.9,244326.5,260405.5,241950.2,265571.6,257344.7,256521.9,233866.9,248175.4,250114.8,256651.4,247918.6,253005.0,271421.4
00:15:00,258650.7,254119.0,224936.2,280914.1,238418.5,250569.1,245567.1,256157.2,220674.0,250543.9,224108.8,222855.0,237924.7,244604.2,240922.4,258267.8,242254.1,249137.4,269017.8,238474.4,252916.7,248540.5,243626.7,257527.8,252664.8,252461.3,259847.5,228469.0,236693.3,264876.7,230357.8,257258.1,238811.2,246398.4,253989.6,250031.3,261625.7,246251.8,251840.2,270061.5,245444.5,260324.0,255457.7,241413.6,243269.5,281986.5,240207.2,260268.7,234540.6,250882.8,235510.0,229156.4,241601.1,276979.8,247158.1,269832.5,235988.9,230640.4,241341.7,248586.5,227029.6,246057.1,265230.2,249057.0,243644.6,239995.3,262796.3,254114.7,260187.1,251657.0,250625.2,243901.3,268693.9,245123.6,248301.4,236679.7,252022.9,250115.7,255296.2,248310.8,255072.1,231038.0,222120.2,246811.1,266548.9,243658.4,248941.6,227006.6,260692.5,226105.2,270996.7,237079.2,274621.7,248734.8,251412.0,236895.2,255869.4,244467.2,233254.8,248014.9
00:30:00,220050.4,226060.1,217802.0,241731.2,215389.1,227423.8,221943.6,210585.0,213495.8,223400.4,228329.8,203675.0,215578.6,195415.2,208806.2,217182.9,225442.2,205889.0,224799.1,223693.3,222347.6,216658.9,225340.5,221753.6,216533.2,204879.9,239091.2,227416.5,210686.7,244303.6,218861.7,271257.2,203662.8,223185.6,211376.8,229442.5,221021.8,226927.0,217878.3,202537.6,203588.9,217538.2,223405.4,208662.0,234982.3,212143.7,191386.7,228756.6,208659.5,226088.7,208604.8,210117.7,211039.6,205604.2,217222.9,219747.8,232662.3,207253.3,216539.1,207430.1,215038.3,224341.0,231655.4,214160.8,203152.3,202865.6,227159.8,212497.2,223195.1,215220.7,226295.7,225166.1,225159.6,230314.1,214286.7,214235.6,217694.2,231657.1,212986.9,224808.1,214422.7,225348.7,210186.4,217535.6,197368.1,227933.1,224052.3,223236.8,226479.3,198671.9,210970.6,212807.5,217057.7,212091.7,219200.2,218582.2,215720.2,213303.2,217471.1,207004.8
00:45:00,211405.5,226673.8,198229.9,211145.6,208090.0,219383.3,208088.3,211919.5,223540.5,210417.2,201050.7,203395.2,222784.6,190737.3,213170.7,221980.5,229853.6,218684.8,234405.5,212122.6,222416.8,221057.3,221589.3,205865.4,214116.9,210808.8,216271.5,208981.3,237807.2,210614.9,203924.6,217637.4,203214.9,222902.3,212188.3,228031.5,242440.7,218066.7,226787.7,227040.0,218310.6,218147.3,211450.9,215535.8,203140.4,224963.0,201904.4,219212.7,213621.2,212188.3,214890.6,214131.6,196470.2,212424.5,203770.2,228469.5,226334.3,204188.8,226899.4,225326.9,210177.7,210972.1,232414.7,206338.9,211500.8,213516.9,239789.2,208888.1,200499.8,220007.3,230088.2,208424.0,217018.3,227832.6,228579.5,206007.7,233555.7,215741.6,215924.4,225371.0,216279.4,235789.9,219224.2,228184.6,202895.3,218605.6,213653.1,219947.7,213984.5,231086.1,236147.0,242919.2,209234.2,206385.2,202465.3,213162.8,225841.4,214799.8,215725.1,227999.4
01:00:00,177214.3,173886.9,173186.4,177725.2,177846.0,177296.4,172622.4,187724.1,183967.5,174089.6,172323.4,184194.0,189928.9,180254.7,185199.6,186482.7,180101.1,171416.7,175311.0,180540.9,176988.8,181267.4,185390.0,171384.6,172239.4,189757.8,173626.8,178296.9,193156.0,180700.4,190838.2,174796.7,186135.0,173917.2,181740.2,183237.2,186197.7,183099.7,180975.4,172872.2,182710.6,174947.8,178005.1,186908.6,190038.3,190445.9,187181.6,173436.6,183101.9,175370.8,175302.2,183545.1,179631.4,175938.7,165079.4,172704.3,184442.2,184889.0,183321.0,182583.0,171588.5,177204.9,173347.9,182164.3,186467.9,184290.5,176739.9,192551.3,180257.5,189253.8,181077.3,184033.4,174322.4,184457.2,169894.5,167401.7,171430.6,178317.6,176785.0,177661.7,176982.4,189696.5,177651.8,168388.7,173736.7,171386.8,180437.0,180760.3,183505.5,185342.8,179781.0,181883.5,165652.0,176309.7,191289.7,178109.0,176242.2,172311.7,182480.0,179360.4
01:15:00,166437.0,171898.5,171959.8,159557.0,160195.4,168776.7,160621.2,177827.4,175480.7,172395.8,167167.2,171264.1,158954.4,176283.3,163722.5,163690.4,167018.5,160038.2,170156.6,162883.4,166679.4,164615.3,167481.5,158493.7,161913.0,169329.6,166812.6,171786.9,180203.9,168495.6,174829.5,171229.2,169765.9,166858.2,162828.3,170156.6,165280.7,170465.4,161330.0,160885.9,170798.7,164044.5,167158.5,167831.4,168288.9,157591.7,174234.2,168998.9,177286.6,180729.1,176880.4,171537.0,165937.3,152769.8,155870.0,178337.7,155313.2,171192.1,167542.5,166923.6,170610.6,162365.4,172015.4,172323.6,170172.7,184373.9,162605.0,154457.4,167618.2,176817.2,153638.9,158051.4,163632.4,165429.8,160165.8,162828.3,168093.4,150493.7,166694.4,179038.6,173966.2,164085.0,174148.5,164044.5,153433.3,164044.5,164754.4,187824.9,153987.1,180334.4,155972.5,164336.4,153572.1,167742.8,165133.1,166940.3,164049.4,164611.8,173771.0,151899.7
01:30:00,159059.9,155921.7,155915.1,154924.6,160775.4,165144.6,154517.1,159910.3,160318.4,154135.5,166062.6,168692.8,158615.2,146452.6,149476.7,168291.4,159950.6,164834.1,156397.3,153818.8,160735.2,159976.9,159950.6,162490.8,155673.2,148276.3,153765.8,162047.3,157499.0,159551.4,160356.5,141937.5,153587.3,161985.8,162088.7,156398.4,158600.8,171042.8,151505.0,157945.7,170913.9,163765.3,155754.2,166202.9,162494.9,165702.8,171469.5,143392.0,163890.5,151324.3,169437.5,159441.4,161134.6,157727.6,157073.5,156802.2,155993.5,162523.4,156829.8,166256.5,161346.2,162440.2,156492.2,161057.4,159429.5,165517.3,154362.6,152594.9,153211.1,169184.5,149475.2,154371.4,162452.0,156071.9,160034.3,168349.9,166064.4,159475.1,162538.2,166087.6,162646.8,152866.1,166983.4,157700.5,165697.3,157700.5,171056.3,162652.1,161624.1,170902.0,154622.7,166582.4,149446.1,161217.5,150949.7,166411.7,156397.3,156819.3,175721.0,149893.6
01:45:00,155128.2,138592.0,157557.7,143500.3,137107.8,136874.7,156188.7,149396.2,145758.0,158895.4,148334.9,140790.0,151756.8,142628.5,140798.6,142650.6,146441.6,142410.8,135970.3,141975.1,151797.3,160469.8,144663.9,149433.2,151230.4,157369.7,137283.8,155755.5,139506.7,135502.4,147082.2,155254.8,153115.2,154365.9,151680.7,144423.1,141959.2,136842.3,140428.1,135947.2,156439.1,140216.8,157557.7,144878.3,137726.7,138616.2,140708.2,141114.8,145312.9,154263.5,143406.6,146072.7,155755.5,147457.5,138200.0,151492.2,139354.5,152572.1,140216.8,145677.8,151336.8,151782.4,147404.0,148675.4,151638.5,146744.3,137698.0,143782.2,154895.2,137304.3,143876.6,139092.5,136873.4,147208.5,153765.6,151680.7,146446.7,135053.4,149318.8,147268.2,153944.0,140216.8,151674.8,133747.3,152541.0,151405.6,139021.2,144453.7,138169.8,160290.0,146308.0,145878.7,146951.1,158799.5,150864.2,144910.2,146059.5,133316.4,147996.5,139354.5
02:00:00,148869.9,157580.4,143520.2,150993.1,159320.9,149741.6,149626.4,143534.9,145299.4,149744.9,143905.2,151693.3,155763.6,154062.1,163758.5,151395.2,157313.4,154098.3,155091.8,155314.3,146201.9,146188.4,157758.0,162435.7,154372.0,147077.4,153295.8,143520.8,153479.5,152592.3,149667.6,150366.9,145742.8,159580.2,155014.2,152425.7,147516.8,146066.0,156851.9,151515.6,158795.3,152305.7,149744.9,166891.6,154508.9,151309.0,147516.0,151789.7,144868.5,151808.1,152758.6,150634.3,145299.4,153971.7,166898.3,180020.7,150579.1,146128.4,143089.1,149979.1,142645.3,149300.9,151012.8,152860.8,153536.5,161469.3,146124.5,155527.1,149300.9,157167.7,149570.5,154639.1,149298.0,150008.3,158358.7,143905.2,149314.1,151358.7,144868.5,146023.7,152269.4,147077.3,153657.6,143964.7,162092.1,150617.8,143843.7,146546.0,147077.9,156608.6,170152.3,162318.9,149201.5,151012.7,147517.9,146127.1,150647.8,160412.4,142629.2,156761.8
02:15:00,155004.3,160739.7,150144.7,156743.2,160284.5,156015.9,155035.4,163730.7,154930.8,150144.7,153502.1,166137.2,151475.5,162092.7,159481.9,159593.2,150957.8,155402.0,154486.1,171856.3,160461.3,155898.6,152291.2,149354.3,158119.9,156161.7,159822.9,149700.0,149317.8,162373.3,164018.5,180543.5,154461.4,154445.0,154834.2,157150.9,165178.7,170306.7,150241.2,172434.8,147576.1,157871.0,148467.5,160828.3,161856.4,172169.9,155531.0,175667.2,155375.5,161626.8,151977.2,154930.8,156785.8,162080.1,166442.6,181016.0,160009.8,153501.9,155576.2,154011.6,150983.3,150564.0,159583.3,152812.2,163123.8,156692.2,166499.5,160895.7,150589.6,168596.8,173560.0,155568.7,152880.3,162227.1,166129.6,153947.0,160271.6,171321.3,155375.5,155776.7,150564.0,149278.8,148467.3,164664.3,169275.7,156263.0,160673.2,156286.2,161315.0,154410.7,160393.2,162879.4,162640.2,154834.1,159468.1,157945.4,159815.3,160868.8,153793.2,165680.9
